word,i,j,gap,page_i,page_j,quire_i,quire_j,lang_i,lang_j,section_i,section_j
cholairy,13993,21637,7644,f72v3,f85r1,K,N,?,B,Z,T
oksedy,14050,14281,231,f72v2,f73r,K,L,?,?,Z,Z
okeoldy,14084,25836,11752,f72v2,f99v,K,S,?,A,Z,P
oteoldy,14101,16015,1914,f72v2,f76v,K,M,?,B,Z,B
okeeoly,14184,31528,17344,f72v1,f108r,K,T,?,B,Z,S
ocheos,14193,26803,12610,f72v1,f102v2,K,S,?,A,Z,P
tear,14218,32963,18745,f72v1,f111r,K,T,?,B,Z,S
daraly,14246,23534,9288,f73r,f88v,L,O,?,A,Z,P
oteeosy,14283,34601,20318,f73r,f113r,L,T,?,B,Z,S
chopchedy,14299,19516,5217,f73r,f82r,L,M,?,B,Z,B
olteey,14303,23104,8801,f73r,f86v3,L,N,?,B,Z,C
toly,14360,25791,11431,f73v,f99v,L,S,?,A,Z,P
ykaipy,14369,25258,10889,f73v,f95v2,L,Q,?,B,Z,H
ykeear,14386,31230,16844,f73v,f107v,L,T,?,B,Z,S
qokeoly,14387,21236,6849,f73v,f84v,L,M,?,B,Z,B
alshy,14389,15560,1171,f73v,f76r,L,M,?,B,Z,T
ltain,14452,33033,18581,f75r,f111r,M,T,B,B,B,S
lch,14576,24731,10155,f75r,f93r,M,Q,B,A,B,H
lolkaiin,14692,30958,16266,f75r,f107r,M,T,B,B,B,S
dykeedy,14797,17652,2855,f75r,f79r,M,M,B,B,B,B
saino,14849,15119,270,f75r,f75v,M,M,B,B,B,B
rshey,14914,37571,22657,f75v,f116r,M,T,B,B,B,S
keed,14919,21233,6314,f75v,f84v,M,M,B,B,B,B
taral,14936,22601,7665,f75v,f86v5,M,N,B,B,B,T
qokydy,14946,21091,6145,f75v,f84v,M,M,B,B,B,B
olshed,14951,20663,5712,f75v,f84r,M,M,B,B,B,B
dedy,15008,16144,1136,f75v,f76v,M,M,B,B,B,B
qolshey,15052,18439,3387,f75v,f80r,M,M,B,B,B,B
lsheckhy,15098,18914,3816,f75v,f80v,M,M,B,B,B,B
lpchdy,15154,36935,21781,f75v,f115v,M,T,B,B,B,S
