page_a,page_b,shared_doubletons
f28r,f75v,1
f28r,f30r,1
f28r,f38r,1
f28r,f116r,1
f28v,f93v,1
f29r,f104v,1
f29v,f55v,1
f29v,f87v,1
f29v,f77v,1
f29v,f69v,1
f30r,f89v1,1
f30v,f114v,1
f30v,f83v,1
f30v,f52v,1
f31r,f70r2,1
f31r,f105r,1
f31r,f76r,1
f31r,f85r2,1
f31v,f114r,1
f31v,f106r,1
f31v,f78v,1
f31v,f39r,1
f31v,f96r,1
f32r,f44r,1
f32v,f113r,1
f32v,f42r,1
f33r,f34v,1
f33r,f80r,1
f33r,f86v3,1
f33r,f111v,1
f33r,f71v,1
f33v,f113r,1
f33v,f58r,1
f33v,f68r1,1
f33v,f48v,1
f33v,f66v,1
f33v,f85r1,1
f33v,f65v,1
f34r,f77v,1
f34r,f70r1,1
f34r,f103v,1
f34r,f102r2,1
f34r,f106v,1
f34r,f89r2,1
f34r,f78r,1
f34v,f85r1,1
f34v,f41r,1
f34v,f111v,1
f35r,f108v,1
f35r,f86v4,1
f35v,f68r3,1
f35v,f84v,1
f35v,f107v,1
f36r,f76r,1
f36r,f58r,1
f36v,f84v,1
f37r,f53r,1
f37v,f70r2,1
f37v,f89v2,1
f37v,f101v,1
f37v,f89v1,1
f37v,f89r2,1
f38r,f101r,1
f38r,f56r,1
f38v,f108v,1
f38v,f85r1,1
f39r,f112v,1
f39r,f86v4,1
f39r,f104v,1
f39r,f72v1,1
f39r,f57v,1
f39v,f52v,1
f39v,f70r1,1
f39v,f67r2,1
f39v,f104v,1
f39v,f84r,1
f40r,f106r,1
f40r,f68r1,1
f40r,f78r,1
f40r,f99r,1
f40r,f67r2,1
f40r,f111r,1
f40r,f85r1,1
f40r,f89v2,1
f40v,f68r3,1
f40v,f50r,1
f40v,f51r,1
f41r,f108r,1
f41r,f100r,1
f41r,f76v,1
f41v,f102r1,1
f41v,f58v,1
f41v,f69v,1
f42r,f107r,1
f42r,f103v,1
f42r,f86v6,1
f42r,f90r1,1
f42r,f58r,1
f42r,f95v1,1
f42v,f49r,1
f42v,f80r,1
f42v,f102v2,1
f43r,f93v,1
f43r,f106r,1
f43r,f89r1,1
f43v,f107r,1
f43v,f102v2,1
f43v,f114v,1
f43v,f95v1,1
f43v,f106v,1
f43v,f85r2,1
f44v,f81v,1
f44v,f89r2,1
f45v,f115v,1
f45v,f77v,1
f45v,f86v6,1
f45v,f83r,1
f45v,f112v,1
f46r,f112r,1
f46r,f73v,1
f46r,f105r,1
f46r,f96r,1
f46v,f107v,1
f46v,fRos,1
f46v,f108v,1
f47r,f70r2,1
f47r,f66v,1
f47v,f113v,1
f48r,f94v,1
f48v,f80r,1
f48v,f80v,1
f48v,f67r1,1
f49r,f93r,1
f49r,f104r,1
f49r,f71r,1
f49r,f86v4,1
f49r,f75r,1
f49r,f72v2,1
f49r,f53r,1
f49r,f105v,1
f49v,f56v,1
f49v,f93v,1
f49v,f111r,1
f49v,f72r2,1
f49v,f67r2,1
f50r,f79v,1
f50r,f89v2,1
f50r,f115v,1
f50r,f90v1,1
f50r,f111v,1
f50v,f88v,1
f50v,f114v,1
f50v,f102r2,1
f51r,f113r,1
f51r,f93v,1
f51r,f111v,1
f51v,f89r1,1
f51v,f100v,1
f52r,f67r1,1
f52r,f86v5,1
f52v,f114r,1
f53r,f67v1,1
f53r,f89v2,1
f53v,f69v,1
f53v,f93r,1
f53v,f68v3,1
f54r,f72v2,1
f54r,f111r,1
f54r,f105r,1
f54v,f107v,1
f54v,f58r,1
f54v,f82v,1
f54v,f73v,1
f55r,f67r2,1
f55r,f85r2,1
f55r,f78r,1
f55v,f85r1,1
f56r,f68v1,1
f56r,f103r,1
f56r,f69r,1
f56r,f113r,1
f56v,f101v,1
f57r,f101v,1
f57r,f88r,1
f57r,f68v2,1
f57r,f103r,1
f57r,f69v,1
f57r,f104r,1
f57v,f77v,1
f57v,f75r,1
f57v,f68v3,1
f58r,f89v1,1
f58r,f103r,1
f58r,f87v,1
f58r,f72r3,1
f58r,f69v,1
f58r,f85r2,1
f58r,f68r2,1
f58r,f68v3,1
f58r,f108v,1
f58r,f78r,1
f58r,f71r,1
f58r,f75v,1
f58r,f70v1,1
f58v,fRos,1
f58v,f114r,1
f58v,f71v,1
f58v,f67r1,1
f58v,f107r,1
f58v,f96r,1
f58v,f108r,1
f58v,f84r,1
f58v,f87v,1
f58v,f111r,1
f58v,f68r2,1
f58v,f108v,1
f65r,f111v,1
f65v,f80v,1
f65v,f68r3,1
f66r,f90v1,1
f66r,f106v,1
f66r,f86v5,1
f66r,f69v,1
f66r,f72r2,1
f66r,f78r,1
f66r,f115r,1
f66r,f89v1,1
f66r,fRos,1
f66r,f113v,1
f66r,f78v,1
f66r,f104v,1
f66v,f88v,1
f66v,f107v,1
f66v,f106r,1
f66v,f114r,1
f66v,f75v,1
f66v,f102r1,1
f67r1,f115v,1
f67r1,f68r3,1
f67r1,f76r,1
f67r1,f104v,1
f67r1,f107r,1
f67r1,f108v,1
f67r1,fRos,1
f67r1,f108r,1
f67r1,f71v,1
f67r1,f114v,1
f67r1,f79v,1
f67r2,f68r1,1
f67r2,f86v4,1
f67r2,f89r1,1
f67r2,f89v1,1
f67r2,f77v,1
f67r2,f99r,1
f67r2,f70r2,1
f67r2,f105r,1
f67r2,f116r,1
f67r2,f104v,1
f67r2,f114v,1
f67v2,f72v1,1
f67v1,f104v,1
f67v1,f113r,1
f67v1,f115r,1
f67v1,f86v3,1
f67v1,f90v1,1
f68r1,f100v,1
f68r1,f114r,1
f68r1,f105v,1
f68r1,f113r,1
f68r1,f76r,1
f68r1,f70v1,1
f68r1,f111r,1
f68r2,f99r,1
f68r2,f101r,1
f68r2,f114r,1
f68r2,f88v,1
f68r2,f113v,1
f68r2,f89v1,1
f68r3,f94r,1
f68r3,f108r,1
f68v3,f79v,1
f68v3,f99v,1
f68v3,fRos,1
f68v3,f83r,1
f68v3,f95v2,1
f68v2,f86v4,1
f68v2,f106v,1
f68v2,f95r2,1
f68v2,f115r,1
f68v2,f99r,1
f68v1,f86v4,1
f68v1,f86v3,1
f68v1,f72v2,1
f68v1,f116r,1
f68v1,f111r,1
f69r,f70v2,1
f69r,f71r,1
f69r,f114r,1
f69r,f99r,1
f69r,f83v,1
f69v,f73v,1
f69v,f112v,1
f69v,f103r,1
f69v,f70v1,1
f69v,f106r,1
f70r1,f77v,1
f70r1,f70v2,1
f70r2,f85r2,1
f70r2,fRos,1
f70r2,f103r,1
f70r2,f78r,1
f70r2,f94r,1
f70r2,f72v3,1
f70r2,f72r1,1
f70v2,f106v,1
f70v2,f112r,1
f70v2,f108r,1
f70v2,f95r1,1
f70v1,f84r,1
f70v1,f107r,1
f70v1,f115v,1
f70v1,f72v1,1
f70v1,f72v2,1
f70v1,f72r2,1
f71r,f107v,1
f71v,f103r,1
f71v,f95r1,1
f71v,f113v,1
f71v,f83v,1
f72r1,f104v,1
f72r1,f106v,1
f72r1,f72r2,1
f72r1,f76v,1
f72r1,f112v,1
f72r1,f114r,1
f72r2,f105v,1
f72r2,f72v2,1
f72r2,fRos,1
f72r2,f72v3,1
f72r3,f72v3,1
f72r3,f95v1,1
f72r3,f85r2,1
f72r3,f107r,1
f72r3,f73v,1
f72r3,fRos,1
f72r3,f99v,1
f72r3,f108r,1
f72r3,f82r,1
f72v3,f85r2,1
f72v3,f104r,1
f72v3,f103v,1
f72v3,f111r,1
f72v3,f89r1,1
f72v3,f85r1,1
f72v2,f106r,1
f72v1,f108r,1
f72v1,f102r2,1
f72v1,fRos,1
f72v1,f115r,1
f73r,f86v3,1
f73r,f88v,1
f73r,f113r,1
f73r,f82r,1
f73r,f79v,1
f73v,fRos,1
f73v,f84v,1
f75r,f111r,1
f75r,f76r,1
f75r,f77v,1
f75r,f108r,1
f75r,f79r,1
f75r,f75v,1
f75r,f88v,1
f75v,f86v5,1
f75v,f84v,1
f75v,f82r,1
f75v,f76v,1
f75v,f114r,1
f75v,f115v,1
f76r,f104r,1
f76r,f82v,1
f76r,f87v,1
f76r,f113v,1
f76r,f106r,1
f76r,f78r,1
f76r,f108v,1
f76r,f76v,1
f76r,f83v,1
f76r,f102v2,1
f76r,f115v,1
f76r,f105v,1
f76v,f113r,1
f76v,fRos,1
f76v,f81r,1
f76v,f103v,1
f76v,f104v,1
f76v,f79r,1
f76v,f115v,1
f76v,f81v,1
f76v,f77v,1
f76v,f87v,1
f77r,f95v1,1
f77r,f113v,1
f77r,f86v6,1
f77r,f83r,1
f77r,f112r,1
f77r,f103r,1
f77r,f104r,1
f77r,f85r1,1
f77r,f80r,1
f77v,f82r,1
f77v,f111v,1
f77v,f79r,1
f77v,f78v,1
f77v,f108r,1
f78r,f82r,1
f78r,f108r,1
f78r,f83r,1
f78r,f82v,1
f78r,f101r,1
f78r,f112r,1
f78r,f116r,1
f78v,f82v,1
f78v,f108v,1
f78v,f79r,1
f78v,f111v,1
f78v,f89v1,1
f78v,f103r,1
f78v,f95v1,1
f78v,f86v5,1
f79r,f88v,1
f79r,f89r1,1
f79r,f80r,1
f79r,f80v,1
f79r,f113r,1
f79r,f94r,1
f79r,f114v,1
f79r,f115r,1
f79r,f86v6,1
f79r,f83r,1
f79r,f94v,1
f79v,f105v,1
f79v,f82v,1
f79v,f87v,1
f79v,f115v,1
f79v,f103r,1
f80r,f86v6,1
f80r,f115r,1
f80r,f80v,1
f80r,f112v,1
f80r,f106r,1
f80r,f103r,1
f80r,f113r,1
f80r,f84r,1
f80r,f107r,1
f80r,f111v,1
f80v,f111r,1
f80v,f82v,1
f80v,f107v,1
f80v,f83r,1
f80v,f106v,1
f80v,f103r,1
f80v,f114v,1
f80v,f89r1,1
f80v,f113v,1
f80v,f105v,1
f80v,f116r,1
f81r,f105v,1
f81r,f105r,1
f81v,f83v,1
f81v,f112r,1
f81v,f82v,1
f81v,f115r,1
f81v,f103r,1
f81v,f86v5,1
f81v,f103v,1
f82r,f104v,1
f82r,f105r,1
f82r,f115v,1
f82r,f114v,1
f82r,f104r,1
f82r,f107v,1
f82v,f84v,1
f82v,f95v2,1
f83r,f116r,1
f83r,f114r,1
f83r,f111r,1
f83v,f107v,1
f83v,f111r,1
f84r,f108v,1
f84r,f107r,1
f84r,f112v,1
f84v,f95r2,1
f84v,f108r,1
f84v,f103v,1
f84v,f115v,1
f84v,f85r1,1
f85r1,f89r2,1
f85r1,f89r1,1
f85r1,f114r,1
f85r1,f116r,1
f85r1,f112v,1
f85r2,f95v2,1
f85r2,f90v2,1
fRos,f116r,1
fRos,f105v,1
fRos,f89v1,1
fRos,f89r1,1
fRos,f96r,1
fRos,f111r,1
fRos,f90r1,1
fRos,f104v,1
fRos,f106v,1
fRos,f113v,1
fRos,f112v,1
fRos,f86v3,1
fRos,f115r,1
fRos,f104r,1
fRos,f93v,1
f86v4,f114r,1
f86v4,f111v,1
f86v4,f108r,1
f86v4,f103v,1
f86v6,f104r,1
f86v6,f108r,1
f86v6,f112v,1
f86v6,f103v,1
f86v6,f94v,1
f86v6,f103r,1
f86v5,f111r,1
f86v5,f116r,1
f86v3,f103r,1
f86v3,f104v,1
f86v3,f111v,1
f86v3,f113r,1
f86v3,f104r,1
f86v3,f102r1,1
f87r,f88v,1
f87r,f93r,1
f87r,f96v,1
f87v,f96v,1
f87v,f114r,1
f88r,f88v,1
f88v,f101v,1
f88v,f111r,1
f88v,f106r,1
f88v,f101r,1
f88v,f105v,1
f89r1,f102v1,1
f89r1,f90v2,1
f89r2,f99v,1
f89r2,f101r,1
f89r2,f106v,1
f89r2,f102r1,1
f89r2,f103r,1
f89v2,f99r,1
f89v2,f104r,1
f89v2,f115r,1
f89v1,f99r,1
f90r1,f107r,1
f90r1,f99v,1
f90r2,f103v,1
f90v2,f107r,1
f90v2,f112v,1
f90v2,f103r,1
f90v1,f107r,1
f90v1,f113r,1
f93r,f102v2,1
f93r,f100v,1
f93r,f93v,1
f93v,f102v2,1
f94v,f106v,1
f94v,f112r,1
f95r1,f115v,1
f95r1,f112v,1
f95r1,f104v,1
f95r2,f106v,1
f95r2,f105r,1
f95v1,f115v,1
f95v1,f106r,1
f95v1,f111r,1
f96r,f99r,1
f96r,f104r,1
f96v,f102r2,1
f99r,f116r,1
f99v,f107r,1
f100r,f115r,1
f100r,f101v,1
f100v,f104r,1
f101r,f104v,1
f101v,f108r,1
f102r1,f106r,1
f102r1,f107r,1
f102r1,f111v,1
f102r1,f116r,1
f102v1,f104v,1
f103r,f112r,1
f103r,f113v,1
f103r,f111v,1
f103v,f106v,1
f103v,f113r,1
f103v,f113v,1
f103v,f111v,1
f103v,f111r,1
f103v,f108v,1
f104r,f112v,1
f104r,f108v,1
f104r,f113v,1
f104r,f106r,1
f104v,f111r,1
f104v,f114r,1
f104v,f113v,1
f104v,f112v,1
f104v,f113r,1
f105r,f106v,1
f105r,f114v,1
f105r,f114r,1
f105r,f111v,1
f105r,f116r,1
f105r,f113v,1
f105r,f108v,1
f105r,f107v,1
f105r,f106r,1
f105r,f115r,1
f105r,f105v,1
f105v,f114r,1
f105v,f108v,1
f105v,f113v,1
f105v,f115v,1
f105v,f115r,1
f105v,f107r,1
f105v,f111v,1
f106r,f115v,1
f106r,f107v,1
f106r,f108r,1
f106r,f114v,1
f106r,f107r,1
f106r,f114r,1
f106v,f115r,1
f106v,f111v,1
f106v,f113v,1
f107r,f112v,1
f107r,f111v,1
f107r,f108v,1
f107r,f108r,1
f107r,f113v,1
f107v,f112v,1
f107v,f108r,1
f107v,f115v,1
f107v,f113v,1
f108r,f113v,1
f108r,f108v,1
f108r,f115r,1
f108r,f115v,1
f108v,f112v,1
f108v,f115v,1
f111r,f114r,1
f111v,f114v,1
f111v,f112v,1
f112r,f116r,1
f112r,f114r,1
f112v,f114r,1
f113r,f114r,1
f113v,f115r,1
f114r,f114v,1
f114v,f115r,1
f115r,f115v,1
