word,i,j,gap,page_i,page_j,quire_i,quire_j,lang_i,lang_j,section_i,section_j
teeos,12381,23606,11225,f68v1,f86v3,I,N,?,B,A,C
cheoeky,12383,13967,1584,f68v1,f72v2,I,K,?,?,A,Z
opain,12390,38097,25707,f68v1,f116r,I,T,?,B,A,S
oteodain,12408,33522,21114,f68v1,f111r,I,T,?,B,A,S
alo<152>y,12479,13125,646,f69r,f70v2,J,J,?,?,C,Z
okeo<152>ar,12488,13271,783,f69r,f71r,J,K,?,?,C,Z
aldair,12491,36503,24012,f69r,f114r,J,T,?,B,C,S
aloly,12507,26141,13634,f69r,f99r,J,S,?,A,C,P
ed,12562,20408,7846,f69r,f83v,J,M,?,B,C,B
airchy,12636,14230,1594,f69v,f73v,J,L,?,?,C,Z
otaldal,12641,34950,22309,f69v,f112v,J,T,?,B,C,S
oteeal,12651,28080,15429,f69v,f103r,J,T,?,B,C,S
okeo<152>al,12659,13228,569,f69v,f70v1,J,J,?,?,C,Z
<221>rar,12661,30412,17751,f69v,f106r,J,T,?,B,C,S
dasy,12708,16472,3764,f70r1,f77v,J,M,?,B,C,B
oteosal,12795,13148,353,f70r1,f70v2,J,J,?,?,C,Z
aloees,12852,21630,8778,f70r2,f85r2,J,N,?,B,C,C
oparam,12868,22165,9297,f70r2,fRos,J,N,?,B,C,C
shokeey,12908,27975,15067,f70r2,f103r,J,T,?,B,C,S
okeeal,12912,16929,4017,f70r2,f78r,J,M,?,B,C,B
opaiir,12995,25401,12406,f70r2,f94r,J,Q,?,B,C,H
okee<152>aly,13012,13885,873,f70r2,f72v3,J,K,?,?,C,Z
otchoshy,13044,13522,478,f70r2,f72r1,J,K,?,?,C,Z
okcheo,13045,31123,18078,f70v2,f106v,J,T,?,B,Z,S
okasy,13088,34805,21717,f70v2,f112r,J,T,?,B,Z,S
okaram,13147,32658,19511,f70v2,f108r,J,T,?,B,Z,S
teodaiin,13166,25602,12436,f70v2,f95r1,J,Q,?,B,Z,H
okolshy,13220,20570,7350,f70v1,f84r,J,M,?,B,Z,B
otodal,13226,31345,18119,f70v1,f107r,J,T,?,B,Z,S
cheokeeo,13227,37841,24614,f70v1,f115v,J,T,?,B,Z,S
oteosaiin,13236,14115,879,f70v1,f72v1,J,K,?,?,Z,Z
okeolol,13238,13953,715,f70v1,f72v2,J,K,?,?,Z,Z
okealar,13252,13546,294,f70v1,f72r2,J,K,?,?,Z,Z
cheary,13298,32078,18780,f71r,f107v,K,T,?,B,Z,S
ateey,13346,27793,14447,f71v,f103r,K,T,?,B,Z,S
okaraiin,13385,25672,12287,f71v,f95r1,K,Q,?,B,Z,H
opalor,13391,36071,22680,f71v,f113v,K,T,?,B,Z,S
shldy,13419,20498,7079,f71v,f83v,K,M,?,B,Z,B
cthe<222>,13441,29417,15976,f72r1,f104v,K,T,?,B,Z,S
okochey,13459,31053,17594,f72r1,f106v,K,T,?,B,Z,S
otaraldy,13490,13588,98,f72r1,f72r2,K,K,?,?,Z,Z
shetey,13501,15853,2352,f72r1,f76v,K,M,?,B,Z,B
cheolor,13508,35150,21642,f72r1,f112v,K,T,?,B,Z,S
teos,13535,36328,22793,f72r1,f114r,K,T,?,B,Z,S
okairy,13545,30028,16483,f72r2,f105v,K,T,?,B,Z,S
qoeeeo,13570,33623,20053,f72r2,f111r,K,T,?,B,Z,S
okealy,13598,14021,423,f72r2,f72v2,K,K,?,?,Z,Z
orary,13601,21818,8217,f72r2,fRos,K,N,?,B,Z,C
oteo<152>aiin,13612,33545,19933,f72r2,f111r,K,T,?,B,Z,S
chas,13626,13898,272,f72r2,f72v3,K,K,?,?,Z,Z
okeolaiin,13664,13917,253,f72r3,f72v3,K,K,?,?,Z,Z
okarar,13666,25862,12196,f72r3,f95v1,K,Q,?,B,Z,H
sheoly,13694,21756,8062,f72r3,f85r2,K,N,?,B,Z,C
ypaiin,13705,31393,17688,f72r3,f107r,K,T,?,B,Z,S
alaly,13706,14302,596,f72r3,f73v,K,L,?,?,Z,Z
otochedy,13713,21813,8100,f72r3,fRos,K,N,?,B,Z,C
osary,13762,26330,12568,f72r3,f99v,K,S,?,A,Z,P
opalal,13789,32507,18718,f72r3,f108r,K,T,?,B,Z,S
octheol,13801,19362,5561,f72r3,f82r,K,M,?,B,Z,B
otchs,13808,21694,7886,f72v3,f85r2,K,N,?,B,Z,C
oteod<222>,13810,29009,15199,f72v3,f104r,K,T,?,B,Z,S
okechdy,13829,28240,14411,f72v3,f103v,K,T,?,B,Z,S
okeche<152>y,13837,33513,19676,f72v3,f111r,K,T,?,B,Z,S
sheeos,13857,24168,10311,f72v3,f89r1,K,O,?,A,Z,P
cholairy,13886,21574,7688,f72v3,f85r1,K,N,?,B,Z,T
okeees,13984,30446,16462,f72v2,f106r,K,T,?,B,Z,S
okeeoly,14068,32171,18103,f72v1,f108r,K,T,?,B,Z,S
oteod,14072,27254,13182,f72v1,f102r2,K,S,?,A,Z,P
oky<152>y,14103,21998,7895,f72v1,fRos,K,N,?,B,Z,C
oeeody,14110,37262,23152,f72v1,f115r,K,T,?,B,Z,S
yteeo<152>y,14123,23469,9346,f73r,f86v3,L,N,?,B,Z,C
daraly,14127,24055,9928,f73r,f88v,L,O,?,A,Z,P
oteeosy,14162,35250,21088,f73r,f113r,L,T,?,B,Z,S
chopchedy,14178,19416,5238,f73r,f82r,L,M,?,B,Z,B
<176>ar,14202,17894,3692,f73r,f79v,L,M,?,B,Z,B
yte<152>ar,14238,22063,7825,f73v,fRos,L,N,?,B,Z,C
qokeoly,14262,21169,6907,f73v,f84v,L,M,?,B,Z,B
ltain,14324,33686,19362,f75r,f111r,M,T,B,B,B,S
lch,14444,15473,1029,f75r,f76r,M,M,B,B,B,T
oqokain,14484,16510,2026,f75r,f77v,M,M,B,B,B,B
ajy,14529,32177,17648,f75r,f108r,M,T,B,B,B,S
dykeedy,14662,17528,2866,f75r,f79r,M,M,B,B,B,B
saino,14715,14980,265,f75r,f75v,M,M,B,B,B,B
saldy,14716,24146,9430,f75r,f88v,M,O,B,A,B,P
taral,14802,23102,8300,f75v,f86v5,M,N,B,B,B,T
qokydy,14812,21021,6209,f75v,f84v,M,M,B,B,B,B
darol,14845,19617,4772,f75v,f82r,M,M,B,B,B,B
dedy,14872,16003,1131,f75v,f76v,M,M,B,B,B,B
ychee<152>y,14979,36639,21660,f75v,f114r,M,T,B,B,B,S
lpchdy,15014,37613,22599,f75v,f115v,M,T,B,B,B,S
okeedal,15136,28865,13729,f76r,f104r,M,T,B,B,T,S
solshedy,15175,19673,4498,f76r,f82v,M,M,B,B,T,B
q<221>,15179,23830,8651,f76r,f87v,M,O,B,A,T,H
okee<152><222>,15188,36107,20919,f76r,f113v,M,T,B,B,T,S
qotes,15214,30670,15456,f76r,f106r,M,T,B,B,T,S
okeed,15235,16799,1564,f76r,f78r,M,M,B,B,T,B
qoke<222>,15313,32960,17647,f76r,f108v,M,T,B,B,T,S
cheolchey,15350,15893,543,f76r,f76v,M,M,B,B,T,B
ollchy,15397,20514,5117,f76r,f83v,M,M,B,B,T,B
lshed,15442,19538,4096,f76r,f82r,M,M,B,B,T,B
d<221>in,15516,27418,11902,f76r,f102v2,M,S,B,A,T,P
rory,15567,37704,22137,f76r,f115v,M,T,B,B,T,S
chedor,15592,30215,14623,f76r,f105v,M,T,B,B,T,S
solshey,15614,19500,3886,f76r,f82r,M,M,B,B,T,B
alchl,15666,35284,19618,f76v,f113r,M,T,B,B,B,S
ote<152><222>,15676,21853,6177,f76v,fRos,M,N,B,B,B,C
qoted<222>,15754,18945,3191,f76v,f81r,M,M,B,B,B,B
oleee<152>y,15755,28409,12654,f76v,f103v,M,T,B,B,B,S
qodeey,15794,29328,13534,f76v,f104v,M,T,B,B,B,S
chedchey,15798,17497,1699,f76v,f79r,M,M,B,B,B,B
rchees,15904,37615,21711,f76v,f115v,M,T,B,B,B,S
lshety,15966,19269,3303,f76v,f81v,M,M,B,B,B,B
qeedy,15968,16451,483,f76v,f77v,M,M,B,B,B,B
san,15998,23846,7848,f76v,f87v,M,O,B,A,B,H
dch<152>y,16029,25871,9842,f77r,f95v1,M,Q,B,B,B,H
lshee<152>y,16072,36203,20131,f77r,f113v,M,T,B,B,B,S
qolchy,16169,22526,6357,f77r,f86v6,M,N,B,B,B,T
solche<152>y,16184,20191,4007,f77r,f83r,M,M,B,B,B,B
olcheedy,16193,34597,18404,f77r,f112r,M,T,B,B,B,S
<221>rol,16296,27701,11405,f77r,f103r,M,T,B,B,B,S
lod,16330,28690,12360,f77r,f104r,M,T,B,B,B,S
<152>ag,16335,21456,5121,f77r,f85r1,M,N,B,B,B,T
oloky,16348,18141,1793,f77r,f80r,M,M,B,B,B,B
rchr,16373,16592,219,f77v,f77v,M,M,B,B,B,B
rsheedy,16386,19592,3206,f77v,f82r,M,M,B,B,B,B
che<152><222>,16492,34140,17648,f77v,f111v,M,T,B,B,B,S
qotas,16504,17594,1090,f77v,f79r,M,M,B,B,B,B
qolshedy,16596,17013,417,f77v,f78v,M,M,B,B,B,B
okalo,16691,32351,15660,f77v,f108r,M,T,B,B,B,S
<176>am,16733,19419,2686,f78r,f82r,M,M,B,B,B,B
yched,16834,32620,15786,f78r,f108r,M,T,B,B,B,S
sokeedy,16850,20196,3346,f78r,f83r,M,M,B,B,B,B
tchal,16871,19844,2973,f78r,f82v,M,M,B,B,B,B
<221>ly,16940,26670,9730,f78r,f101r,M,S,B,A,B,P
qokeiiin,16984,34734,17750,f78r,f112r,M,T,B,B,B,S
okaral,16990,38413,21423,f78r,f116r,M,T,B,B,B,S
olfchedy,16992,19634,2642,f78v,f82v,M,M,B,B,B,B
cth<152>y,17003,32758,15755,f78v,f108v,M,T,B,B,B,S
lshdy,17023,17295,272,f78v,f79r,M,M,B,B,B,B
olkee<222>,17031,34015,16984,f78v,f111v,M,T,B,B,B,S
qokeee<152>y,17085,36207,19122,f78v,f113v,M,T,B,B,B,S
<152>a,17148,24762,7614,f78v,f89v1,M,O,B,A,B,P
qofcheol,17169,36069,18900,f78v,f113v,M,T,B,B,B,S
okalor,17175,27725,10550,f78v,f103r,M,T,B,B,B,S
oltar,17238,25881,8643,f78v,f95v1,M,Q,B,B,B,H
oltal,17268,23359,6091,f78v,f86v5,M,N,B,B,B,T
qolshy,17322,32371,15049,f79r,f108r,M,T,B,B,B,S
pcheedy,17370,32631,15261,f79r,f108r,M,T,B,B,B,S
shoikhy,17385,24135,6750,f79r,f88v,M,O,B,A,B,P
ldain,17396,24263,6867,f79r,f89r1,M,O,B,A,B,P
sheyky,17468,18338,870,f79r,f80r,M,M,B,B,B,B
oikhy,17475,18732,1257,f79r,f80v,M,M,B,B,B,B
cholchey,17517,35335,17818,f79r,f113r,M,T,B,B,B,S
kas,17535,25463,7928,f79r,f94r,M,Q,B,B,B,H
o<176>aiin,17577,36871,19294,f79r,f114v,M,T,B,B,B,S
qotshedy,17586,37201,19615,f79r,f115r,M,T,B,B,B,S
